,Unnamed: 0,Bell No,Actual Time,Confidence
446,446,5,184120.0,1.0
447,447,1,184130.0,0.7307253765222802
448,448,4,184730.0,1.0
449,449,6,185110.0,0.9870447853832373
450,450,3,185410.0,1.0
451,451,5,185810.0,1.0
452,452,2,185880.0,1.0
453,453,4,186350.0,1.0
454,454,1,186490.0,1.0
455,455,6,186980.0,1.0
456,456,5,187600.0,1.0
457,457,3,187820.0,1.0
458,458,1,188090.0,1.0
459,459,4,188210.0,1.0
460,460,2,188310.0,0.9794948865327828
461,461,6,188930.0,1.0
462,462,5,189440.0,1.0
463,463,4,189770.0,1.0
464,464,3,190000.0,1.0
465,465,1,190060.0,1.0
466,466,2,190290.0,0.9862800998908972
467,467,6,190970.0,1.0
468,468,4,191530.0,1.0
469,469,5,191880.0,0.9836263181414436
470,470,2,192090.0,1.0
471,471,3,192370.0,0.9085933251247024
472,472,1,192430.0,0.948575317918046
473,473,6,192940.0,1.0
474,474,4,193340.0,1.0
475,475,2,193770.0,1.0
476,476,5,194080.0,1.0
477,477,1,194130.0,0.9436965471947284
478,478,3,194490.0,0.991450520721852
479,479,6,194950.0,0.9910900380265136
480,480,2,195510.0,1.0
481,481,4,195800.0,0.9665194427130316
482,482,1,196150.0,1.0
483,483,5,196370.0,1.0
484,484,3,196670.0,1.0
485,485,6,196930.0,1.0
486,486,2,197480.0,1.0
487,487,4,198130.0,1.0
488,488,1,198200.0,1.0
489,489,3,198390.0,0.9692874521009266
490,490,5,198740.0,1.0
491,491,6,198980.0,1.0
492,492,2,199850.0,1.0
493,493,3,200250.0,0.9611544539475048
494,494,1,200420.0,0.9822450981829908
495,495,4,200620.0,1.0
496,496,5,200990.0,1.0
497,497,6,201240.0,0.99012145791755
498,498,2,202050.0,1.0
499,499,1,202330.0,0.9897030777333437
500,500,3,202370.0,0.9854022867443302
501,501,5,202800.0,1.0
502,502,4,203080.0,1.0
503,503,6,203370.0,0.9758162381354608
504,504,3,204060.0,1.0
505,505,1,204190.0,1.0
506,506,2,204400.0,1.0
507,507,5,204770.0,1.0
508,508,4,205160.0,1.0
509,509,6,205620.0,1.0
510,510,3,205980.0,0.9849083776469344
511,511,1,206450.0,0.9742963160898526
512,512,2,206530.0,1.0
513,513,5,206620.0,1.0
514,514,4,206940.0,1.0
515,515,6,207530.0,1.0
516,516,1,208320.0,0.974709231754977
517,517,5,208530.0,0.8969407105337874
518,518,2,208590.0,0.9091061963044528
519,519,3,208770.0,1.0
520,520,4,209080.0,0.973201449804774
521,521,6,209690.0,0.2890613367798468
522,522,5,210320.0,1.0
523,523,3,210540.0,0.9415364525973424
524,524,2,210790.0,0.8957994215141987
525,525,1,210870.0,0.96555211443235
526,526,4,210930.0,0.988682040879916
527,527,6,211480.0,0.99456515767951
