Name,Stage,Lead Length,Place Notation,Type,Interior Notation,Hunt Number
Armardar Surprise Minor,6,24,"56-36.14-56-36-14-16,12",T,56-36.14-56-36-14-16-14-36-56-14.36-56.12,1
Squirrel Surprise Minor,6,24,"56-36.14-56-36-14-36,12",T,56-36.14-56-36-14-36-14-36-56-14.36-56.12,1
Sutton Bonington Surprise Minor,6,24,"56-36.14-56-36-14-56,12",T,56-36.14-56-36-14-56-14-36-56-14.36-56.12,1
Fabis Surprise Minor,6,24,"56-36.14-56-36-34-16,12",T,56-36.14-56-36-34-16-34-36-56-14.36-56.12,1
Colonsay Surprise Minor,6,24,"56-36.14-56-36-34-36,12",T,56-36.14-56-36-34-36-34-36-56-14.36-56.12,1
Green Park Surprise Minor,6,24,"56-36.14-56-36.12-12.36,12",T,56-36.14-56-36.12-12.36.12-12.36-56-14.36-56.12,1
Jaen Surprise Minor,6,24,"56-36.14-56-36.12-14.56,12",T,56-36.14-56-36.12-14.56.14-12.36-56-14.36-56.12,1
Sapperton Tunnel Surprise Minor,6,24,"56-36.14-56-36.12-34.36,12",T,56-36.14-56-36.12-34.36.34-12.36-56-14.36-56.12,1
Father Blackadder Surprise Minor,6,24,"56-36.14-56-36.14-12.36,12",T,56-36.14-56-36.14-12.36.12-14.36-56-14.36-56.12,1
Mork Surprise Minor,6,24,"56-36.14-56-36.14-12.56,12",T,56-36.14-56-36.14-12.56.12-14.36-56-14.36-56.12,1
Carna Surprise Minor,6,24,"56-36.14-56-36.14-14.36,16",T,56-36.14-56-36.14-14.36.14-14.36-56-14.36-56.16,1
Mindy Surprise Minor,6,24,"56-36.14-56-36.14-34.56,12",T,56-36.14-56-36.14-34.56.34-14.36-56-14.36-56.12,1
Broadstone Surprise Minor,6,24,"56-36.14.56-12.36-12-36,12",T,56-36.14.56-12.36-12-36-12-36.12-56.14.36-56.12,1
Ulva Surprise Minor,6,24,"56-36.14.56-12.36-14-56,12",T,56-36.14.56-12.36-14-56-14-36.12-56.14.36-56.12,1
Gometra Surprise Minor,6,24,"56-36.14.56-12.36-34-36,12",T,56-36.14.56-12.36-34-36-34-36.12-56.14.36-56.12,1
Highbridge Surprise Minor,6,24,"56-36.14.56-12.36.12-12.36,12",T,56-36.14.56-12.36.12-12.36.12-12.36.12-56.14.36-56.12,1
Sopley Surprise Minor,6,24,"56-36.14.56-12.36.12-14.36,12",T,56-36.14.56-12.36.12-14.36.14-12.36.12-56.14.36-56.12,1
Canna Surprise Minor,6,24,"56-36.14.56-12.36.12-14.56,12",T,56-36.14.56-12.36.12-14.56.14-12.36.12-56.14.36-56.12,1
Rhum Surprise Minor,6,24,"56-36.14.56-12.36.12-34.16,12",T,56-36.14.56-12.36.12-34.16.34-12.36.12-56.14.36-56.12,1
Rum Surprise Minor,6,24,"56-36.14.56-12.36.12-34.36,12",T,56-36.14.56-12.36.12-34.36.34-12.36.12-56.14.36-56.12,1
Eigg Surprise Minor,6,24,"56-36.14.56-12.36.14-14.16,12",T,56-36.14.56-12.36.14-14.16.14-14.36.12-56.14.36-56.12,1
Curdworth Surprise Minor,6,24,"56-36.14.56-12.36.14-14.36,16",T,56-36.14.56-12.36.14-14.36.14-14.36.12-56.14.36-56.16,1
Milland Surprise Minor,6,24,"56-36.14.56-12.36.14-34.56,12",T,56-36.14.56-12.36.14-34.56.34-14.36.12-56.14.36-56.12,1
Padworth Surprise Minor,6,24,"56-56.14-12-1236-12-36,12",T,56-56.14-12-1236-12-36-12-1236-12-14.56-56.12,1
Pangbourne Surprise Minor,6,24,"56-56.14-12-1236-12-56,12",T,56-56.14-12-1236-12-56-12-1236-12-14.56-56.12,1
Hobson Surprise Minor,6,24,"56-56.14-12-1236-12-56,16",T,56-56.14-12-1236-12-56-12-1236-12-14.56-56.16,1
Daggett the Dog Surprise Minor,6,24,"56-56.14-12-1236-14-36,12",T,56-56.14-12-1236-14-36-14-1236-12-14.56-56.12,1
Farewell Surprise Minor,6,24,"56-56.14-12-1236-14-56,12",T,56-56.14-12-1236-14-56-14-1236-12-14.56-56.12,1
Shaw Surprise Minor,6,24,"56-56.14-12-1236-34-56,12",T,56-56.14-12-1236-34-56-34-1236-12-14.56-56.12,1
Burnopfield Surprise Minor,6,24,"56-56.14-12-1236-34-56,16",T,56-56.14-12-1236-34-56-34-1236-12-14.56-56.16,1
Tewinbury Surprise Minor,6,24,"56-56.14-12-36-12-16,12",T,56-56.14-12-36-12-16-12-36-12-14.56-56.12,1
Binfield Surprise Minor,6,24,"56-56.14-12-36-12-36,12",T,56-56.14-12-36-12-36-12-36-12-14.56-56.12,1
Chieveley Surprise Minor,6,24,"56-56.14-12-36-12-56,12",T,56-56.14-12-36-12-56-12-36-12-14.56-56.12,1
Ebchester Surprise Minor,6,24,"56-56.14-12-36-12-56,16",T,56-56.14-12-36-12-56-12-36-12-14.56-56.16,1
St David Surprise Minor,6,24,"56-56.14-12-36-14-16,12",T,56-56.14-12-36-14-16-14-36-12-14.56-56.12,1
Chicago Surprise Minor,6,24,"56-56.14-12-36-14-36,12",T,56-56.14-12-36-14-36-14-36-12-14.56-56.12,1
Ardington Surprise Minor,6,24,"56-56.14-12-36-34-56,12",T,56-56.14-12-36-34-56-34-36-12-14.56-56.12,1
Shotley Bridge Surprise Minor,6,24,"56-56.14-12-36-34-56,16",T,56-56.14-12-36-34-56-34-36-12-14.56-56.16,1
Chilton Surprise Minor,6,24,"56-56.14-12-36.12-12.36,12",T,56-56.14-12-36.12-12.36.12-12.36-12-14.56-56.12,1
Marcham Surprise Minor,6,24,"56-56.14-12-36.12-12.56,12",T,56-56.14-12-36.12-12.56.12-12.36-12-14.56-56.12,1
Leadgate Surprise Minor,6,24,"56-56.14-12-36.12-12.56,16",T,56-56.14-12-36.12-12.56.12-12.36-12-14.56-56.16,1
Woolton Hill Surprise Minor,6,24,"56-56.14-12-36.12-14.56,12",T,56-56.14-12-36.12-14.56.14-12.36-12-14.56-56.12,1
Longcot Surprise Minor,6,24,"56-56.14-12-36.12-34.56,12",T,56-56.14-12-36.12-34.56.34-12.36-12-14.56-56.12,1
Dipton Surprise Minor,6,24,"56-56.14-12-36.12-34.56,16",T,56-56.14-12-36.12-34.56.34-12.36-12-14.56-56.16,1
Beano Surprise Minor,6,24,"56-56.14-12-36.14-14.36,12",T,56-56.14-12-36.14-14.36.14-14.36-12-14.56-56.12,1
Lewis Surprise Minor,6,24,"56-56.14-12-36.14-14.56,12",T,56-56.14-12-36.14-14.56.14-14.36-12-14.56-56.12,1
Rope Surprise Minor,6,24,"56-56.14-12-36.14-34.16,12",T,56-56.14-12-36.14-34.16.34-14.36-12-14.56-56.12,1
Galtymore Surprise Minor,6,24,"56-56.14-1256-1236-12-56,12",T,56-56.14-1256-1236-12-56-12-1236-1256-14.56-56.12,1
Knockmealdown Surprise Minor,6,24,"56-56.14-1256-1236-14-56,12",T,56-56.14-1256-1236-14-56-14-1236-1256-14.56-56.12,1
Slieve Donard Surprise Minor,6,24,"56-56.14-1256-1236-34-56,12",T,56-56.14-1256-1236-34-56-34-1236-1256-14.56-56.12,1
Beinn Laomuinn Surprise Minor,6,24,"56-56.14-1256-36-12-56,12",T,56-56.14-1256-36-12-56-12-36-1256-14.56-56.12,1
Sgùrr a' Choire Ghlais Surprise Minor,6,24,"56-56.14-1256-36-34-56,12",T,56-56.14-1256-36-34-56-34-36-1256-14.56-56.12,1
The Storr Surprise Minor,6,24,"56-56.14-1256-36.12-14.56,12",T,56-56.14-1256-36.12-14.56.14-12.36-1256-14.56-56.12,1
Beinn Dearg Surprise Minor,6,24,"56-56.14-1256-36.12-34.56,12",T,56-56.14-1256-36.12-34.56.34-12.36-1256-14.56-56.12,1
Cac Carn Beag Surprise Minor,6,24,"56-56.14-1256-36.14-14.56,12",T,56-56.14-1256-36.14-14.56.14-14.36-1256-14.56-56.12,1
Trois Mille Surprise Minor,6,24,"56-56.14-56-1236-12-16,12",T,56-56.14-56-1236-12-16-12-1236-56-14.56-56.12,1
Sandhurst Surprise Minor,6,24,"56-56.14-56-1236-12-36,12",T,56-56.14-56-1236-12-36-12-1236-56-14.56-56.12,1
Midgham Surprise Minor,6,24,"56-56.14-56-1236-12-56,12",T,56-56.14-56-1236-12-56-12-1236-56-14.56-56.12,1
East Malling Surprise Minor,6,24,"56-56.14-56-1236-14-16,12",T,56-56.14-56-1236-14-16-14-1236-56-14.56-56.12,1
Ditchingham Surprise Minor,6,24,"56-56.14-56-1236-14-36,12",T,56-56.14-56-1236-14-36-14-1236-56-14.56-56.12,1
Shinfield Surprise Minor,6,24,"56-56.14-56-1236-34-56,12",T,56-56.14-56-1236-34-56-34-1236-56-14.56-56.12,1
Childrey Surprise Minor,6,24,"56-56.14-56-36-12-36,12",T,56-56.14-56-36-12-36-12-36-56-14.56-56.12,1
Appleford Surprise Minor,6,24,"56-56.14-56-36-12-56,12",T,56-56.14-56-36-12-56-12-36-56-14.56-56.12,1
David Hird's Wallet Surprise Minor,6,24,"56-56.14-56-36-14-36,12",T,56-56.14-56-36-14-36-14-36-56-14.56-56.12,1
Stonesfield Surprise Minor,6,24,"56-56.14-56-36-14-56,12",T,56-56.14-56-36-14-56-14-36-56-14.56-56.12,1
Coleshill Surprise Minor,6,24,"56-56.14-56-36-34-56,12",T,56-56.14-56-36-34-56-34-36-56-14.56-56.12,1
Cumnor Surprise Minor,6,24,"56-56.14-56-36.12-12.36,12",T,56-56.14-56-36.12-12.36.12-12.36-56-14.56-56.12,1
Letcombe Surprise Minor,6,24,"56-56.14-56-36.12-12.56,12",T,56-56.14-56-36.12-12.56.12-12.36-56-14.56-56.12,1
Peasemore Surprise Minor,6,24,"56-56.14-56-36.12-34.56,12",T,56-56.14-56-36.12-34.56.34-12.36-56-14.56-56.12,1
Stogursey Surprise Minor,6,24,"56-56.14-56-36.14-12.56,12",T,56-56.14-56-36.14-12.56.12-14.36-56-14.56-56.12,1
