Name,Stage,Lead Length,Place Notation,Type,Interior Notation,Hunt Number
Little Rock Surprise Major,8,32,"38-58.14-58-38-12-1238-14-78,12",T,38-58.14-58-38-12-1238-14-78-14-1238-12-38-58-14.58-38.12,1
Lewisham District Surprise Major,8,32,"38-58.14-58-38-12-1458-1236-78,12",T,38-58.14-58-38-12-1458-1236-78-1236-1458-12-38-58-14.58-38.12,1
Gateshead Surprise Major,8,32,"38-58.14-58-38-12-38-14-38,12",T,38-58.14-58-38-12-38-14-38-14-38-12-38-58-14.58-38.12,1
Wethersfield Surprise Major,8,32,"38-58.14-58-38-12-38.12-14.78,12",T,38-58.14-58-38-12-38.12-14.78.14-12.38-12-38-58-14.58-38.12,1
Wicken Surprise Major,8,32,"38-58.14-58-38-12-58.14-14.58,12",T,38-58.14-58-38-12-58.14-14.58.14-14.58-12-38-58-14.58-38.12,1
Wigston Surprise Major,8,32,"38-58.14-58-38-14-58-14-58,12",T,38-58.14-58-38-14-58-14-58-14-58-14-38-58-14.58-38.12,1
Sheraz Surprise Major,8,32,"38-58.14-58-38-14-58.16-16.58,12",T,38-58.14-58-38-14-58.16-16.58.16-16.58-14-38-58-14.58-38.12,1
Hasketon Surprise Major,8,32,"38-58.14-58-38-34-1458-14-58,12",T,38-58.14-58-38-34-1458-14-58-14-1458-34-38-58-14.58-38.12,1
Lapal Surprise Major,8,32,"38-58.14-58-38-34-38.14-12.38,12",T,38-58.14-58-38-34-38.14-12.38.12-14.38-34-38-58-14.58-38.12,1
Fulbourn Surprise Major,8,32,"38-58.14-58-38-34-58.14-14.58,12",T,38-58.14-58-38-34-58.14-14.58.14-14.58-34-38-58-14.58-38.12,1
Thorpe Surprise Major,8,32,"38-58.14-58-38-34-58.16-12.78,12",T,38-58.14-58-38-34-58.16-12.78.12-16.58-34-38-58-14.58-38.12,1
Windley Surprise Major,8,32,"38-58.14-58-38-34-58.16-34.78,12",T,38-58.14-58-38-34-58.16-34.78.34-16.58-34-38-58-14.58-38.12,1
Davies Surprise Major,8,32,"38-58.14-58-38-34-58.16-56.78,12",T,38-58.14-58-38-34-58.16-56.78.56-16.58-34-38-58-14.58-38.12,1
Victoria Bar Surprise Major,8,32,"38-58.14-58-38.12-12.38-14-78,12",T,38-58.14-58-38.12-12.38-14-78-14-38.12-12.38-58-14.58-38.12,1
Perth Surprise Major,8,32,"38-58.14-58-38.12-14.38.16-16.78,12",T,38-58.14-58-38.12-14.38.16-16.78.16-16.38.14-12.38-58-14.58-38.12,1
Buckingham Surprise Major,8,32,"38-58.14-58-38.12-14.58-14-58,12",T,38-58.14-58-38.12-14.58-14-58-14-58.14-12.38-58-14.58-38.12,1
Bucks Surprise Major,8,32,"38-58.14-58-38.12-14.58.14-34.58,12",T,38-58.14-58-38.12-14.58.14-34.58.34-14.58.14-12.38-58-14.58-38.12,1
Clanfield Surprise Major,8,32,"38-58.14-58-38.14-14.38.14.36-78,12",T,38-58.14-58-38.14-14.38.14.36-78-36.14.38.14-14.38-58-14.58-38.12,1
X-in-hand Surprise Major,8,32,"38-58.14-58-38.14-14.58-34-58,12",T,38-58.14-58-38.14-14.58-34-58-34-58.14-14.38-58-14.58-38.12,1
Claybrooke Surprise Major,8,32,"38-58.14-58-38.14-14.58-36.14.78,12",T,38-58.14-58-38.14-14.58-36.14.78.14.36-58.14-14.38-58-14.58-38.12,1
Leicestershire Surprise Major,8,32,"38-58.14-58-38.14-14.58.14-14.58,12",T,38-58.14-58-38.14-14.58.14-14.58.14-14.58.14-14.38-58-14.58-38.12,1
Beaumont Hill Surprise Major,8,32,"38-58.14-58-38.14-34.58.36-1236.58,12",T,38-58.14-58-38.14-34.58.36-1236.58.1236-36.58.34-14.38-58-14.58-38.12,1
Derker Surprise Major,8,32,"38-58.14.56-56.1238-14-38-36.14.38,12",T,38-58.14.56-56.1238-14-38-36.14.38.14.36-38-14-1238.56-56.14.58-38.12,1
Hollinwood Surprise Major,8,32,"38-58.14.56-56.1238-14-58.36-16.38,12",T,38-58.14.56-56.1238-14-58.36-16.38.16-36.58-14-1238.56-56.14.58-38.12,1
Thebe Surprise Major,8,32,"38-58.14.56-56.38-14-58.14-36.18,12",T,38-58.14.56-56.38-14-58.14-36.18.36-14.58-14-38.56-56.14.58-38.12,1
Ickwell Green Surprise Major,8,32,"38-58.14.56-56.38-34-58-14-58,12",T,38-58.14.56-56.38-34-58-14-58-14-58-34-38.56-56.14.58-38.12,1
Duddeston Surprise Major,8,32,"38-58.14.56-56.38.12-14.58.14-14.58,12",T,38-58.14.56-56.38.12-14.58.14-14.58.14-14.58.14-12.38.56-56.14.58-38.12,1
Iffley Surprise Major,8,32,"38-58.14.56-56.38.14-14.58-14.56.38,12",T,38-58.14.56-56.38.14-14.58-14.56.38.56.14-58.14-14.38.56-56.14.58-38.12,1
Houghton-le-Spring Surprise Major,8,32,"38-58.14.58-58.16-12-58-16-78,12",T,38-58.14.58-58.16-12-58-16-78-16-58-12-16.58-58.14.58-38.12,1
Acton Surprise Major,8,32,"38-58.14.58-58.16-12-58.16-16.78,12",T,38-58.14.58-58.16-12-58.16-16.78.16-16.58-12-16.58-58.14.58-38.12,1
Reverse Uppingham Surprise Major,8,32,"38-58.14.58-58.16-34-38.14-16.78,12",T,38-58.14.58-58.16-34-38.14-16.78.16-14.38-34-16.58-58.14.58-38.12,1
Hanwell Surprise Major,8,32,"38-58.14.58-58.36-12-38-14-78,12",T,38-58.14.58-58.36-12-38-14-78-14-38-12-36.58-58.14.58-38.12,1
Ewbank Surprise Major,8,32,"38-58.14.58-58.36-14-38-34-18,12",T,38-58.14.58-58.36-14-38-34-18-34-38-14-36.58-58.14.58-38.12,1
Milverton Surprise Major,8,32,"38-58.14.58-58.36-14-58-36-78,12",T,38-58.14.58-58.36-14-58-36-78-36-58-14-36.58-58.14.58-38.12,1
Ilchester Surprise Major,8,32,"38-58.14.58-58.36-14-58.14-14.38,12",T,38-58.14.58-58.36-14-58.14-14.38.14-14.58-14-36.58-58.14.58-38.12,1
Ramsgate Surprise Major,8,32,"38-58.14.58-58.36.14-14.58-14-38,12",T,38-58.14.58-58.36.14-14.58-14-38-14-58.14-14.36.58-58.14.58-38.12,1
Fiddle Surprise Major,8,32,"38-58.14.58.12.58.16-14-58.16-16.78,12",T,38-58.14.58.12.58.16-14-58.16-16.78.16-16.58-14-16.58.12.58.14.58-38.12,1
Cleveland Surprise Major,8,32,"38-58.16-12-16-14-38.14-16.78,12",T,38-58.16-12-16-14-38.14-16.78.16-14.38-14-16-12-16.58-38.12,1
Hedon Surprise Major,8,32,"38-58.16-12-16-14-58-16-38,12",T,38-58.16-12-16-14-58-16-38-16-58-14-16-12-16.58-38.12,1
Eastcote Surprise Major,8,32,"38-58.16-12-36-14-38-14-38,12",T,38-58.16-12-36-14-38-14-38-14-38-14-36-12-16.58-38.12,1
Exminster Surprise Major,8,32,"38-58.16-12-36-14-38.56.14.36.58,12",T,38-58.16-12-36-14-38.56.14.36.58.36.14.56.38-14-36-12-16.58-38.12,1
Tuxford Surprise Major,8,32,"38-58.16-12-36-14-58.16-36.58,12",T,38-58.16-12-36-14-58.16-36.58.36-16.58-14-36-12-16.58-38.12,1
Hornsey Surprise Major,8,32,"38-58.16-12-36-14-58.36-56.18,12",T,38-58.16-12-36-14-58.36-56.18.56-36.58-14-36-12-16.58-38.12,1
Willesden Surprise Major,8,32,"38-58.16-12-36.14-14.38-14-58,12",T,38-58.16-12-36.14-14.38-14-58-14-38.14-14.36-12-16.58-38.12,1
Twyford Surprise Major,8,32,"38-58.16-12-36.14-14.58.36-36.18,12",T,38-58.16-12-36.14-14.58.36-36.18.36-36.58.14-14.36-12-16.58-38.12,1
Phyllosan Surprise Major,8,32,"38-58.16-12-38.12-14.58-14-38,12",T,38-58.16-12-38.12-14.58-14-38-14-58.14-12.38-12-16.58-38.12,1
Colnbrook Surprise Major,8,32,"38-58.16-12-38.14-14.38.16-16.38,12",T,38-58.16-12-38.14-14.38.16-16.38.16-16.38.14-14.38-12-16.58-38.12,1
Potcote Surprise Major,8,32,"38-58.16-12-38.14-14.38.16-36.18,12",T,38-58.16-12-38.14-14.38.16-36.18.36-16.38.14-14.38-12-16.58-38.12,1
Knuston Surprise Major,8,32,"38-58.16-12.56.38.14-14.58.16-12.58,12",T,38-58.16-12.56.38.14-14.58.16-12.58.12-16.58.14-14.38.56.12-16.58-38.12,1
Buffy the Vampire Slayer Surprise Major,8,32,"38-58.16-12.58.16.78.14-58.14-16.78,12",T,38-58.16-12.58.16.78.14-58.14-16.78.16-14.58-14.78.16.58.12-16.58-38.12,1
Edgcote Surprise Major,8,32,"38-58.16-56-16-12-38-14-58,12",T,38-58.16-56-16-12-38-14-58-14-38-12-16-56-16.58-38.12,1
Mansfield Surprise Major,8,32,"38-58.16-56-16-12-58-14-78,12",T,38-58.16-56-16-12-58-14-78-14-58-12-16-56-16.58-38.12,1
Fawsley Surprise Major,8,32,"38-58.16-56-16-14-38-12-18,12",T,38-58.16-56-16-14-38-12-18-12-38-14-16-56-16.58-38.12,1
Barnwell Surprise Major,8,32,"38-58.16-56-16-34-58-14-78,12",T,38-58.16-56-16-34-58-14-78-14-58-34-16-56-16.58-38.12,1
Xauen Surprise Major,8,32,"38-58.16-56-16-34-58.14-14.38,12",T,38-58.16-56-16-34-58.14-14.38.14-14.58-34-16-56-16.58-38.12,1
Lincote Surprise Major,8,32,"38-58.16-56-36-12-58-12-18,12",T,38-58.16-56-36-12-58-12-18-12-58-12-36-56-16.58-38.12,1
Ulpha Surprise Major,8,32,"38-58.16-56-36-14-58-16-38,12",T,38-58.16-56-36-14-58-16-38-16-58-14-36-56-16.58-38.12,1
Vanderplanck Surprise Major,8,32,"38-58.16-56-36-14-58.14-14.78,12",T,38-58.16-56-36-14-58.14-14.78.14-14.58-14-36-56-16.58-38.12,1
Hesketh Surprise Major,8,32,"38-58.16-56-36.14-14.58-14-78,12",T,38-58.16-56-36.14-14.58-14-78-14-58.14-14.36-56-16.58-38.12,1
Grimscote Surprise Major,8,32,"38-58.16-56-38-12-38.14-14.78,12",T,38-58.16-56-38-12-38.14-14.78.14-14.38-12-38-56-16.58-38.12,1
Liverpool Surprise Major,8,32,"38-58.16-56-38-14-38-34-18,12",T,38-58.16-56-38-14-38-34-18-34-38-14-38-56-16.58-38.12,1
Dorset Surprise Major,8,32,"38-58.16-56-38-14-38.14-16.38,12",T,38-58.16-56-38-14-38.14-16.38.16-14.38-14-38-56-16.58-38.12,1
Windermere Surprise Major,8,32,"38-58.16-56-38-14-38.14.56.14.38,12",T,38-58.16-56-38-14-38.14.56.14.38.14.56.14.38-14-38-56-16.58-38.12,1
Rotherhithe Surprise Major,8,32,"38-58.16-56-38-14-58.14-14.58,12",T,38-58.16-56-38-14-58.14-14.58.14-14.58-14-38-56-16.58-38.12,1
Tooting Surprise Major,8,32,"38-58.16-56-38-14-58.16-12.78,12",T,38-58.16-56-38-14-58.16-12.78.12-16.58-14-38-56-16.58-38.12,1
Balham Surprise Major,8,32,"38-58.16-56-38-14-58.16-56.78,12",T,38-58.16-56-38-14-58.16-56.78.56-16.58-14-38-56-16.58-38.12,1
Greenhithe Surprise Major,8,32,"38-58.16-56-38.14-14.58-14-58,12",T,38-58.16-56-38.14-14.58-14-58-14-58.14-14.38-56-16.58-38.12,1
Pinhoe Surprise Major,8,32,"38-58.16-56-38.14-14.58-36-58,12",T,38-58.16-56-38.14-14.58-36-58-36-58.14-14.38-56-16.58-38.12,1
Uppingham Surprise Major,8,32,"38-58.16-56-38.14-14.58.14-16.78,12",T,38-58.16-56-38.14-14.58.14-16.78.16-14.58.14-14.38-56-16.58-38.12,1
Jesus College Surprise Major,8,32,"38-58.16.58-12.36.14-12.38-36.14.38,12",T,38-58.16.58-12.36.14-12.38-36.14.38.14.36-38.12-14.36.12-58.16.58-38.12,1
Crispin Surprise Major,8,32,"38.56-14-56-1238-14-58.16-14.78,12",T,38.56-14-56-1238-14-58.16-14.78.14-16.58-14-1238-56-14-56.38.12,1
Shoreditch High Street Surprise Major,8,32,"38.56-14-56-1238-14-58.36-36.18,12",T,38.56-14-56-1238-14-58.36-36.18.36-36.58-14-1238-56-14-56.38.12,1
Farndish Surprise Major,8,32,"38.56-14.56-12.38-14-58.14-34.58,12",T,38.56-14.56-12.38-14-58.14-34.58.34-14.58-14-38.12-56.14-56.38.12,1
Kaapstad Surprise Major,8,32,"38.56-14.56-58.1236-14-58.14-14.78,12",T,38.56-14.56-58.1236-14-58.14-14.78.14-14.58-14-1236.58-56.14-56.38.12,1
Houndswood Surprise Major,8,32,"38.56-14.56-58.36-14-38.16-16.38,12",T,38.56-14.56-58.36-14-38.16-16.38.16-16.38-14-36.58-56.14-56.38.12,1
Metis Surprise Major,8,32,"38.56-14.56-58.36.14-14.38-12-18,12",T,38.56-14.56-58.36.14-14.38-12-18-12-38.14-14.36.58-56.14-56.38.12,1
Fleet Street Surprise Major,8,32,"38.56-16.58.12-1236-14-3458-12-18,12",T,38.56-16.58.12-1236-14-3458-12-18-12-3458-14-1236-12.58.16-56.38.12,1
Homerton College Surprise Major,8,32,"38.56.34.16.58-12.36.14-14.58.16-14.58,12",T,38.56.34.16.58-12.36.14-14.58.16-14.58.14-16.58.14-14.36.12-58.16.34.56.38.12,1
Eire Surprise Major,8,32,"38.56.34.16.58.12.58.16.34.12.34.58.16.34.12.78,12",T,38.56.34.16.58.12.58.16.34.12.34.58.16.34.12.78.12.34.16.58.34.12.34.16.58.12.58.16.34.56.38.12,1
Cheviot Surprise Major,8,32,"38.56.38.16.58-12.38.14-14.38.16-12.58,12",T,38.56.38.16.58-12.38.14-14.38.16-12.58.12-16.38.14-14.38.12-58.16.38.56.38.12,1
Ziel Surprise Major,8,32,"56-34.16.58-12.36-12-38.16.34.16.38,18",T,56-34.16.58-12.36-12-38.16.34.16.38.16.34.16.38-12-36.12-58.16.34-56.18,1
Xeromero Surprise Major,8,32,"56-34.16.58-12.36-12-38.56-16.58,12",T,56-34.16.58-12.36-12-38.56-16.58.16-56.38-12-36.12-58.16.34-56.12,1
Rottnest Surprise Major,8,32,"56-34.16.58-12.36-12-38.56-16.58,18",T,56-34.16.58-12.36-12-38.56-16.58.16-56.38-12-36.12-58.16.34-56.18,1
Sine Nomine Surprise Major,8,32,"56-34.16.58-12.36-14-58.12-14.38,18",T,56-34.16.58-12.36-14-58.12-14.38.14-12.58-14-36.12-58.16.34-56.18,1
Urandangie Surprise Major,8,32,"56-34.16.58-12.38-12-38.14-12.78,12",T,56-34.16.58-12.38-12-38.14-12.78.12-14.38-12-38.12-58.16.34-56.12,1
Coonabarabran Surprise Major,8,32,"56-34.16.58-12.38-12-38.14-12.78,18",T,56-34.16.58-12.38-12-38.14-12.78.12-14.38-12-38.12-58.16.34-56.18,1
Icarian Surprise Major,8,32,"56-34.16.58-12.38-12-58.16-14.38,18",T,56-34.16.58-12.38-12-58.16-14.38.14-16.58-12-38.12-58.16.34-56.18,1
Minster Abbey Surprise Major,8,32,"56-34.16.58-12.38-14-1458-34-58,12",T,56-34.16.58-12.38-14-1458-34-58-34-1458-14-38.12-58.16.34-56.12,1
Caereni Surprise Major,8,32,"56-34.16.58-12.38-14-38.14-16.38,18",T,56-34.16.58-12.38-14-38.14-16.38.16-14.38-14-38.12-58.16.34-56.18,1
Cilurnum Surprise Major,8,32,"56-34.16.58-12.38-14-58.36.12-18,18",T,56-34.16.58-12.38-14-58.36.12-18-12.36.58-14-38.12-58.16.34-56.18,1
Gunnerside Surprise Major,8,32,"56-34.16.58-12.38.12-14.58.14-16.58,18",T,56-34.16.58-12.38.12-14.58.14-16.58.16-14.58.14-12.38.12-58.16.34-56.18,1
Combe Surprise Major,8,32,"56-34.16.58-58.16-14-58.14-34.78,12",T,56-34.16.58-58.16-14-58.14-34.78.34-14.58-14-16.58-58.16.34-56.12,1
Neodymium Surprise Major,8,32,"56-34.16.58-58.16-14-58.14-56.18,18",T,56-34.16.58-58.16-14-58.14-56.18.56-14.58-14-16.58-58.16.34-56.18,1
Inkpen Surprise Major,8,32,"56-34.16.58-58.16-34-38.16.34.16.38,18",T,56-34.16.58-58.16-34-38.16.34.16.38.16.34.16.38-34-16.58-58.16.34-56.18,1
Staining Surprise Major,8,32,"56-34.16.58-58.36-14-38.16-16.38,18",T,56-34.16.58-58.36-14-38.16-16.38.16-16.38-14-36.58-58.16.34-56.18,1
Unnilunium Surprise Major,8,32,"56-34.16.58-58.36.12-12.38.14-14.38,18",T,56-34.16.58-58.36.12-12.38.14-14.38.14-14.38.12-12.36.58-58.16.34-56.18,1
Newbury Park Surprise Major,8,32,"56-34.16.58-58.36.14-14.58-14-38,12",T,56-34.16.58-58.36.14-14.58-14-38-14-58.14-14.36.58-58.16.34-56.12,1
Icklesham Surprise Major,8,32,"56-34.16.58-58.36.14-14.58-14-38,18",T,56-34.16.58-58.36.14-14.58-14-38-14-58.14-14.36.58-58.16.34-56.18,1
Saddleworth Surprise Major,8,32,"56-34.16.58.12.58.36.14-14.38.12-16.78,18",T,56-34.16.58.12.58.36.14-14.38.12-16.78.16-12.38.14-14.36.58.12.58.16.34-56.18,1
Tuesis Surprise Major,8,32,"56-36.1458-12-1236-14-3458-16-18,18",T,56-36.1458-12-1236-14-3458-16-18-16-3458-14-1236-12-1458.36-56.18,1
Gabrosentum Surprise Major,8,32,"56-36.1458-12-38-14-1458.36-16.58,18",T,56-36.1458-12-38-14-1458.36-16.58.16-36.1458-14-38-12-1458.36-56.18,1
Belerium Surprise Major,8,32,"56-36.1458-12-38-14-38-12-18,18",T,56-36.1458-12-38-14-38-12-18-12-38-14-38-12-1458.36-56.18,1
Aventius Surprise Major,8,32,"56-36.1458-12-38.14-14.58.36-16.58,18",T,56-36.1458-12-38.14-14.58.36-16.58.16-36.58.14-14.38-12-1458.36-56.18,1
Boston Manor Surprise Major,8,32,"56-38.14-12-16-14-58.36.14-38,12",T,56-38.14-12-16-14-58.36.14-38-14.36.58-14-16-12-14.38-56.12,1
Piccadilly Surprise Major,8,32,"56-38.14-12-38-12-38-14-78,12",T,56-38.14-12-38-12-38-14-78-14-38-12-38-12-14.38-56.12,1
Layerthorpe Surprise Major,8,32,"56-38.14-12-38.14-14.58.14-1236.78,12",T,56-38.14-12-38.14-14.58.14-1236.78.1236-14.58.14-14.38-12-14.38-56.12,1
Himalia Surprise Major,8,32,"56-38.14-58-16-14-58.12.56.12.38,18",T,56-38.14-58-16-14-58.12.56.12.38.12.56.12.58-14-16-58-14.38-56.18,1
Haiti Surprise Major,8,32,"56-38.14-58-36.14-14.58.16-56.38,12",T,56-38.14-58-36.14-14.58.16-56.38.56-16.58.14-14.36-58-14.38-56.12,1
Greenacres Surprise Major,8,32,"56-38.16-56-36-14-38.14.36-58,18",T,56-38.16-56-36-14-38.14.36-58-36.14.38-14-36-56-16.38-56.18,1
True Surprise Major,8,32,"56-38.16-58-16-1234-1258-16.34.18,18",T,56-38.16-58-16-1234-1258-16.34.18.34.16-1258-1234-16-58-16.38-56.18,1
St John's College Surprise Major,8,32,"56-38.16-58-38.14-12.38.56-36.78,12",T,56-38.16-58-38.14-12.38.56-36.78.36-56.38.12-14.38-58-16.38-56.12,1
Ickleford Surprise Major,8,32,"56-56.14-56-36.14-14.38.16-16.78,18",T,56-56.14-56-36.14-14.38.16-16.78.16-16.38.14-14.36-56-14.56-56.18,1
Quark Surprise Major,8,32,"56-56.14-56-38-14-38-16-38,18",T,56-56.14-56-38-14-38-16-38-16-38-14-38-56-14.56-56.18,1
Verdite Surprise Major,8,32,"56-56.14-56-38-14-38.14-14.38,18",T,56-56.14-56-38-14-38.14-14.38.14-14.38-14-38-56-14.56-56.18,1
Praseodymium Surprise Major,8,32,"56-56.14-56-38-14-58-14-18,18",T,56-56.14-56-38-14-58-14-18-14-58-14-38-56-14.56-56.18,1
Germanium Surprise Major,8,32,"56-56.14-56-38-14-58-14.36.78,18",T,56-56.14-56-38-14-58-14.36.78.36.14-58-14-38-56-14.56-56.18,1
Chlorine Surprise Major,8,32,"56-56.14-56-38.14-14.38-16-58,18",T,56-56.14-56-38.14-14.38-16-58-16-38.14-14.38-56-14.56-56.18,1
Basford Surprise Major,8,32,"56-56.14-58-1238-14-38.12-56.18,18",T,56-56.14-58-1238-14-38.12-56.18.56-12.38-14-1238-58-14.56-56.18,1
Caesaromogus Surprise Major,8,32,"56-56.14-58-16-12-1258-34-38,18",T,56-56.14-58-16-12-1258-34-38-34-1258-12-16-58-14.56-56.18,1
Twice Brewed Surprise Major,8,32,"56-56.14-58-16-12-38-14-78,18",T,56-56.14-58-16-12-38-14-78-14-38-12-16-58-14.56-56.18,1
Ewden Surprise Major,8,32,"56-56.14-58-16-12-58-34-38,18",T,56-56.14-58-16-12-58-34-38-34-58-12-16-58-14.56-56.18,1
St Blaise Surprise Major,8,32,"56-56.14-58-16-14-38-56-58,12",T,56-56.14-58-16-14-38-56-58-56-38-14-16-58-14.56-56.12,1
Quarter Surprise Major,8,32,"56-56.14-58-16-14-38-56-58,18",T,56-56.14-58-16-14-38-56-58-56-38-14-16-58-14.56-56.18,1
Chelsea Surprise Major,8,32,"56-56.14-58-16-14-38.14.36.14.78,12",T,56-56.14-58-16-14-38.14.36.14.78.14.36.14.38-14-16-58-14.56-56.12,1
Tiffield Surprise Major,8,32,"56-56.14-58-16-14-38.14.36.14.78,18",T,56-56.14-58-16-14-38.14.36.14.78.14.36.14.38-14-16-58-14.56-56.18,1
Teddington Surprise Major,8,32,"56-56.14-58-16-14-38.14.56.14.58,12",T,56-56.14-58-16-14-38.14.56.14.58.14.56.14.38-14-16-58-14.56-56.12,1
Byfleet Surprise Major,8,32,"56-56.14-58-16-14-38.14.56.14.58,18",T,56-56.14-58-16-14-38.14.56.14.58.14.56.14.38-14-16-58-14.56-56.18,1
Barnet Surprise Major,8,32,"56-56.14-58-16-14-58-16-78,12",T,56-56.14-58-16-14-58-16-78-16-58-14-16-58-14.56-56.12,1
Arkley Surprise Major,8,32,"56-56.14-58-16-14-58.16-16.78,12",T,56-56.14-58-16-14-58.16-16.78.16-16.58-14-16-58-14.56-56.12,1
Twickenham Surprise Major,8,32,"56-56.14-58-16-14-58.16-16.78,18",T,56-56.14-58-16-14-58.16-16.78.16-16.58-14-16-58-14.56-56.18,1
Chichester Surprise Major,8,32,"56-56.14-58-16-34-1458-16-78,12",T,56-56.14-58-16-34-1458-16-78-16-1458-34-16-58-14.56-56.12,1
Durocintum Surprise Major,8,32,"56-56.14-58-16-34-1458-16-78,18",T,56-56.14-58-16-34-1458-16-78-16-1458-34-16-58-14.56-56.18,1
Kessingland Surprise Major,8,32,"56-56.14-58-16-34-58.16-16.58,12",T,56-56.14-58-16-34-58.16-16.58.16-16.58-34-16-58-14.56-56.12,1
Felmersham Surprise Major,8,32,"56-56.14-58-16-34-58.16-16.58,18",T,56-56.14-58-16-34-58.16-16.58.16-16.58-34-16-58-14.56-56.18,1
Learmonth Surprise Major,8,32,"56-56.14-58-16.34-14.38.16.34.16.58,18",T,56-56.14-58-16.34-14.38.16.34.16.58.16.34.16.38.14-34.16-58-14.56-56.18,1
Xoanon Surprise Major,8,32,"56-56.14-58-16.34-34.58-34-38,18",T,56-56.14-58-16.34-34.58-34-38-34-58.34-34.16-58-14.56-56.18,1
New Gloucester Surprise Major,8,32,"56-56.14-58-36-12-58-34-18,18",T,56-56.14-58-36-12-58-34-18-34-58-12-36-58-14.56-56.18,1
Alinoe Surprise Major,8,32,"56-56.14-58-36-12-58.14-12.38,18",T,56-56.14-58-36-12-58.14-12.38.12-14.58-12-36-58-14.56-56.18,1
Bishopsgate Surprise Major,8,32,"56-56.14-58-36-14-38-14-38,12",T,56-56.14-58-36-14-38-14-38-14-38-14-36-58-14.56-56.12,1
Eeyore Surprise Major,8,32,"56-56.14-58-36-34-1238-1256-18,12",T,56-56.14-58-36-34-1238-1256-18-1256-1238-34-36-58-14.56-56.12,1
Khi Surprise Major,8,32,"56-56.14-58-36-34-1258.34-14.38,18",T,56-56.14-58-36-34-1258.34-14.38.14-34.1258-34-36-58-14.56-56.18,1
Petvaria Surprise Major,8,32,"56-56.14-58-36-34-1458-34-38,18",T,56-56.14-58-36-34-1458-34-38-34-1458-34-36-58-14.56-56.18,1
July Surprise Major,8,32,"56-56.14-58-36-34-3458-16-58,12",T,56-56.14-58-36-34-3458-16-58-16-3458-34-36-58-14.56-56.12,1
Warwick Surprise Major,8,32,"56-56.14-58-36-34-38-16-78,18",T,56-56.14-58-36-34-38-16-78-16-38-34-36-58-14.56-56.18,1
Cobham Surprise Major,8,32,"56-56.14-58-36-34-38.14-14.58,12",T,56-56.14-58-36-34-38.14-14.58.14-14.38-34-36-58-14.56-56.12,1
Boddington Surprise Major,8,32,"56-56.14-58-36-34-38.14-14.58,18",T,56-56.14-58-36-34-38.14-14.58.14-14.38-34-36-58-14.56-56.18,1
Anicetis Surprise Major,8,32,"56-56.14-58-36.12-34.58.34-14.38,18",T,56-56.14-58-36.12-34.58.34-14.38.14-34.58.34-12.36-58-14.56-56.18,1
Olney Surprise Major,8,32,"56-56.14-58-36.14-14.58-14-18,18",T,56-56.14-58-36.14-14.58-14-18-14-58.14-14.36-58-14.56-56.18,1
Olveston Surprise Major,8,32,"56-56.14-58-36.14-34.58.14-12.38,18",T,56-56.14-58-36.14-34.58.14-12.38.12-14.58.34-14.36-58-14.56-56.18,1
Kings Cross St Pancras Surprise Major,8,32,"56-56.14-58.12.36-14-58.34.16-58,12",T,56-56.14-58.12.36-14-58.34.16-58-16.34.58-14-36.12.58-14.56-56.12,1
Monze Surprise Major,8,32,"56-56.14-78-123678-12-123458-12.34.78,12",T,56-56.14-78-123678-12-123458-12.34.78.34.12-123458-12-123678-78-14.56-56.12,1
Moho Surprise Major,8,32,"56-56.14-78-123678-12-1258-12-78,12",T,56-56.14-78-123678-12-1258-12-78-12-1258-12-123678-78-14.56-56.12,1
Lifu Surprise Major,8,32,"56-56.14-78-123678-12-1258.34.12.34.78,12",T,56-56.14-78-123678-12-1258.34.12.34.78.34.12.34.1258-12-123678-78-14.56-56.12,1
Lehi Surprise Major,8,32,"56-56.14-78-123678-12-58.12-12.78,12",T,56-56.14-78-123678-12-58.12-12.78.12-12.58-12-123678-78-14.56-56.12,1
Lebwa Surprise Major,8,32,"56-56.14-78-123678-12.34.1258.34.12-78,12",T,56-56.14-78-123678-12.34.1258.34.12-78-12.34.1258.34.12-123678-78-14.56-56.12,1
Kribi Surprise Major,8,32,"56-56.14-78-123678-1234-123458-12-78,12",T,56-56.14-78-123678-1234-123458-12-78-12-123458-1234-123678-78-14.56-56.12,1
Volsk Surprise Major,8,32,"56-56.14-78-123678-1234-1258.34.12-78,12",T,56-56.14-78-123678-1234-1258.34.12-78-12.34.1258-1234-123678-78-14.56-56.12,1
Maza Surprise Major,8,32,"56-56.14-78-123678-1234-3458.12-12.78,12",T,56-56.14-78-123678-1234-3458.12-12.78.12-12.3458-1234-123678-78-14.56-56.12,1
Melk Surprise Major,8,32,"56-56.14-78-3678-12-3458-12.34.78,12",T,56-56.14-78-3678-12-3458-12.34.78.34.12-3458-12-3678-78-14.56-56.12,1
Mogu Surprise Major,8,32,"56-56.14-78-3678-12-58-12-78,12",T,56-56.14-78-3678-12-58-12-78-12-58-12-3678-78-14.56-56.12,1
Krzyz Surprise Major,8,32,"56-56.14-78-3678-12-58.34.12.34.78,12",T,56-56.14-78-3678-12-58.34.12.34.78.34.12.34.58-12-3678-78-14.56-56.12,1
Hansi Surprise Major,8,32,"56-56.14-78-3678-12.34.58.34.12-78,12",T,56-56.14-78-3678-12.34.58.34.12-78-12.34.58.34.12-3678-78-14.56-56.12,1
